,Progress,Duration (in seconds),Finished,Q1,Q2,Q3,Q4,Q5,Q6,Unnamed: 22,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
26,100,108,True,9,50-64,Female,Not married,Asian,Buddhism,,High school graduate / GED,"Less than $30,000",Independent,Somewhat Right,4.0,Kamala Harris,2.0,3.0,2.0,2.0,Friends/Family,I prefer voting on election day,4.0,3.0
27,100,88,True,3,40-49,Male,Not married,White,Judaism,,2 year degree,"Less than $30,000",Democrat,Unsure,2.0,Kamala Harris,1.0,2.0,3.0,2.0,"The Voter Information Handbook sent to my house,Friends/Family",Today was the best option for my schedule,4.0,4.0
28,100,87,True,1,25-29,Female,Not married,White,Catholic,,4 year degree,"$100,000-$199,999",Democrat,Somewhat Wrong,3.0,Kamala Harris,2.0,2.0,3.0,2.0,"Rhode Island Secretary of State's Website,The Voter Information Handbook sent to my house,Friends/Family","I forgot to vote early or by mail,Today was the best option for my schedule",4.0,4.0
29,100,159,True,3,18-24,Female,Not married,White,,,High school graduate / GED,"$30,000-$49,999",Democrat,Somewhat Wrong,3.0,Kamala Harris,3.0,2.0,2.0,2.0,"Social Media,Friends/Family",I prefer voting on election day,3.0,3.0
30,100,58,True,5,18-24,Male,Not married,"Black or African American,Hispanic or Latino/a",Catholic,,Some college,"$30,000-$49,999",Democrat,Somewhat Wrong,3.0,Kamala Harris,3.0,2.0,2.0,1.0,"Rhode Island Secretary of State's Website,The Voter Information Handbook sent to my house,Social Media",I prefer voting on election day,4.0,4.0
31,100,67,True,9,30-39,Female,Not married,White,,,2 year degree,"$30,000-$49,999",Democrat,Somewhat Right,3.0,Kamala Harris,1.0,2.0,3.0,3.0,Social Media,I prefer voting on election day,4.0,4.0
32,100,87,True,1,30-39,Male,Not married,White,Atheist,,Doctorate,"$30,000-$49,999",Democrat,Definitely Wrong,4.0,Kamala Harris,0.0,2.0,3.0,3.0,Rhode Island Secretary of State's Website,"I prefer voting on election day,I wanted to wait to learn more about the candidates,Today was the best option for my schedule",4.0,4.0
33,100,56,True,8,65 or older,Male,Married,Hispanic or Latino/a,Catholic,,Less than High School,"Less than $30,000",,Somewhat Right,3.0,,3.0,2.0,3.0,3.0,,,4.0,4.0
34,100,71,True,14,50-64,Female,Married,White,,,Professional degree,"$50,000-$100,000",Democrat,Somewhat Wrong,3.0,Kamala Harris,2.0,2.0,3.0,1.0,Rhode Island Secretary of State's Website,I prefer voting on election day,4.0,3.0
35,100,69,True,15,30-39,Female,Not married,Black or African American,,,Some college,"$50,000-$100,000",Democrat,Definitely Wrong,3.0,Kamala Harris,2.0,2.0,3.0,3.0,The Voter Information Handbook sent to my house,I prefer voting on election day,4.0,3.0
36,100,98,True,11,40-49,Female,Not married,Black or African American,,,High school graduate / GED,"$50,000-$100,000",Democrat,Unsure,2.0,Kamala Harris,3.0,2.0,2.0,2.0,Friends/Family,I prefer voting on election day,4.0,4.0
37,100,59,True,7,40-49,Female,Not married,Hispanic or Latino/a,Catholic,,4 year degree,"Less than $30,000",Democrat,Somewhat Wrong,3.0,Kamala Harris,2.0,2.0,3.0,2.0,The Voter Information Handbook sent to my house,I prefer voting on election day,1.0,4.0
38,100,242,True,11,50-64,Female,Not married,Hispanic or Latino/a,Catholic,,High school graduate / GED,"$30,000-$49,999",Democrat,,3.0,Kamala Harris,3.0,2.0,2.0,2.0,Friends/Family,I prefer voting on election day,4.0,4.0
39,100,75,True,6,40-49,Male,Married,Hispanic or Latino/a,Catholic,,Some college,"$50,000-$100,000",Democrat,Somewhat Wrong,1.0,Other,1.0,2.0,2.0,2.0,Friends/Family,I prefer voting on election day,4.0,4.0
40,100,152,True,15,30-39,Male,Married,"White,Hispanic or Latino/a,Asian,Native Hawaiian or Pacific Islander",Other,"Catholic, Protestant, and Athiest",4 year degree,"$100,000-$199,999",Independent,Somewhat Right,4.0,Other,1.0,2.0,2.0,1.0,"Social Media,Friends/Family","I prefer voting on election day,I do not trust mail-in voting,I wanted to wait to learn more about the candidates,Today was the best option for my schedule",1.0,4.0
41,100,67,True,9,40-49,Female,Not married,Hispanic or Latino/a,,,High school graduate / GED,"$30,000-$49,999",Independent,Unsure,2.0,,2.0,1.0,2.0,2.0,"Social Media,Friends/Family",I prefer voting on election day,1.0,1.0
42,100,82,True,9,50-64,Male,Not married,White,,,2 year degree,"$30,000-$49,999",Independent,Unsure,3.0,Kamala Harris,1.0,2.0,1.0,3.0,Social Media,I prefer voting on election day,4.0,1.0
43,100,96,True,8,30-39,Female,Married,Hispanic or Latino/a,,,Some college,"$50,000-$100,000",Republican,Unsure,3.0,Donald Trump,1.0,2.0,3.0,3.0,"Rhode Island Secretary of State's Website,211 Voter Hotline,Friends/Family",I prefer voting on election day,4.0,4.0
44,100,75,True,1,25-29,Male,Not married,"White,Hispanic or Latino/a",Catholic,,4 year degree,"$50,000-$100,000",Democrat,Somewhat Right,3.0,Kamala Harris,1.0,1.0,3.0,3.0,The Voter Information Handbook sent to my house,"I prefer voting on election day,I forgot to vote early or by mail",4.0,4.0
45,100,97,True,6,30-39,Female,Not married,,,,Some college,"Less than $30,000",Democrat,Somewhat Right,4.0,Kamala Harris,3.0,3.0,2.0,2.0,"Rhode Island Secretary of State's Website,Social Media","I prefer voting on election day,I wanted to wait to learn more about the candidates",3.0,3.0
46,100,180,True,12,50-64,Female,Not married,Other,,,4 year degree,"$50,000-$100,000",Independent,Somewhat Right,1.0,Kamala Harris,2.0,1.0,2.0,2.0,"The Voter Information Handbook sent to my house,Social Media,Friends/Family",,4.0,4.0
47,100,84,True,5,30-39,Female,Married,White,Other,Pagan,4 year degree,"$50,000-$100,000",Republican,Definitely Wrong,0.0,Donald Trump,2.0,1.0,2.0,0.0,Social Media,"I prefer voting on election day,I do not trust mail-in voting,I wanted to wait to learn more about the candidates",3.0,1.0
48,100,94,True,3,50-64,Female,Not married,"Black or African American,American Indian or Alaska Native,Other",Protestant / Other Christian Denomination,,Some college,"Less than $30,000",Democrat,Definitely Wrong,2.0,Kamala Harris,3.0,2.0,2.0,3.0,Rhode Island Secretary of State's Website,I prefer voting on election day,3.0,3.0
49,100,227,True,12,30-39,Male,Not married,White,Catholic,,4 year degree,"$200,000 or more",Republican,Somewhat Right,3.0,Donald Trump,2.0,1.0,3.0,2.0,"211 Voter Hotline,The Voter Information Handbook sent to my house,Social Media","I prefer voting on election day,I forgot to vote early or by mail",3.0,1.0
50,100,77,True,14,50-64,Male,Married,White,Atheist,,4 year degree,"$100,000-$199,999",Democrat,Unsure,3.0,Kamala Harris,3.0,2.0,2.0,3.0,Social Media,I prefer voting on election day,4.0,4.0
51,100,105,True,1,30-39,Male,Married,"White,American Indian or Alaska Native",Protestant / Other Christian Denomination,,Professional degree,"$100,000-$199,999",Independent,Definitely Wrong,1.0,Donald Trump,3.0,1.0,2.0,3.0,Rhode Island Secretary of State's Website,Today was the best option for my schedule,1.0,3.0
52,100,101,True,8,50-64,Male,Not married,Hispanic or Latino/a,Catholic,,Professional degree,"$100,000-$199,999",Other third party,Somewhat Right,3.0,Kamala Harris,1.0,1.0,3.0,3.0,Social Media,I prefer voting on election day,4.0,4.0
53,100,52,True,7,65 or older,Male,Not married,White,Catholic,,Some college,"Less than $30,000",Republican,Unsure,0.0,Donald Trump,3.0,0.0,0.0,0.0,Social Media,I prefer voting on election day,4.0,0.0
54,100,138,True,14,30-39,Male,Married,White,Atheist,,4 year degree,"$200,000 or more",Democrat,Definitely Wrong,0.0,Kamala Harris,0.0,1.0,3.0,3.0,"Rhode Island Secretary of State's Website,The Voter Information Handbook sent to my house,Social Media,Friends/Family",Today was the best option for my schedule,4.0,1.0
55,100,77,True,11,50-64,Female,Married,Hispanic or Latino/a,,,4 year degree,"Less than $30,000",Republican,Definitely Wrong,2.0,Donald Trump,3.0,0.0,1.0,2.0,Rhode Island Secretary of State's Website,I do not trust mail-in voting,4.0,0.0
56,100,76,True,15,30-39,Female,Married,Hispanic or Latino/a,Other,,High school graduate / GED,"$50,000-$100,000",,Somewhat Wrong,1.0,,1.0,1.0,2.0,1.0,Rhode Island Secretary of State's Website,I prefer voting on election day,4.0,3.0
57,100,136,True,3,25-29,Male,Not married,White,Catholic,,Professional degree,"$200,000 or more",Democrat,Somewhat Right,3.0,Kamala Harris,2.0,2.0,3.0,3.0,Rhode Island Secretary of State's Website,Today was the best option for my schedule,4.0,4.0
58,100,66,True,8,50-64,Male,Not married,Hispanic or Latino/a,Catholic,,Less than High School,"$30,000-$49,999",Democrat,Definitely Right,4.0,Kamala Harris,3.0,3.0,2.0,3.0,Rhode Island Secretary of State's Website,I prefer voting on election day,3.0,4.0
59,100,54,True,5,25-29,Male,Not married,White,Catholic,,4 year degree,"$100,000-$199,999",Democrat,Somewhat Right,1.0,Kamala Harris,3.0,3.0,2.0,3.0,Rhode Island Secretary of State's Website,"I prefer voting on election day,I forgot to vote early or by mail,Today was the best option for my schedule",4.0,4.0
60,100,74,True,9,18-24,Female,Not married,Hispanic or Latino/a,,,Some college,"$30,000-$49,999",Democrat,Unsure,2.0,Kamala Harris,0.0,2.0,2.0,2.0,"Social Media,Friends/Family",I prefer voting on election day,4.0,4.0
61,100,80,True,15,40-49,Male,Not married,White,,,Professional degree,"$200,000 or more",Democrat,Somewhat Wrong,1.0,Kamala Harris,1.0,1.0,2.0,2.0,"The Voter Information Handbook sent to my house,Social Media",I prefer voting on election day,3.0,4.0
62,100,86,True,6,50-64,Female,Married,,,,2 year degree,"$50,000-$100,000",Democrat,Somewhat Right,3.0,Kamala Harris,3.0,3.0,3.0,3.0,Social Media,I prefer voting on election day,3.0,1.0
63,100,103,True,11,50-64,Male,,Black or African American,Catholic,,High school graduate / GED,"$30,000-$49,999",Democrat,Somewhat Right,1.0,Kamala Harris,2.0,1.0,3.0,3.0,Social Media,Today was the best option for my schedule,4.0,3.0
64,100,79,True,12,30-39,Female,Married,Hispanic or Latino/a,Protestant / Other Christian Denomination,,Professional degree,"$200,000 or more",Democrat,Somewhat Right,3.0,Kamala Harris,3.0,1.0,3.0,2.0,Social Media,I prefer voting on election day,4.0,0.0
65,100,62,True,14,50-64,Female,Married,White,Catholic,,Some college,"$100,000-$199,999",Democrat,Unsure,3.0,Kamala Harris,2.0,2.0,3.0,3.0,The Voter Information Handbook sent to my house,I prefer voting on election day,4.0,4.0
66,100,47,True,11,65 or older,Female,Married,Hispanic or Latino/a,,,,,,,3.0,,3.0,2.0,3.0,3.0,,,4.0,4.0
67,100,86,True,1,18-24,Female,Not married,Asian,Atheist,,4 year degree,"$200,000 or more",Democrat,Somewhat Right,3.0,Kamala Harris,2.0,2.0,3.0,2.0,Friends/Family,Today was the best option for my schedule,4.0,0.0
68,100,77,True,3,30-39,Female,Not married,Black or African American,,,2 year degree,"Less than $30,000",Democrat,Somewhat Wrong,3.0,Kamala Harris,0.0,2.0,3.0,0.0,"Social Media,Friends/Family","I prefer voting on election day,I do not trust mail-in voting,I did not feel like I had all the information necessary to vote early or by mail",4.0,1.0
69,100,56,True,7,50-64,Female,Not married,Hispanic or Latino/a,Protestant / Other Christian Denomination,,Less than High School,"Less than $30,000",Democrat,Somewhat Right,1.0,Kamala Harris,3.0,1.0,2.0,2.0,The Voter Information Handbook sent to my house,I prefer voting on election day,3.0,0.0
70,100,90,True,9,25-29,Male,Married,White,Atheist,,4 year degree,"$200,000 or more",Other third party,Definitely Wrong,0.0,Other,1.0,0.0,2.0,2.0,Rhode Island Secretary of State's Website,I did not feel like I had all the information necessary to vote early or by mail,4.0,4.0
71,100,89,True,12,40-49,Female,Not married,White,,,Professional degree,,Independent,Unsure,3.0,Kamala Harris,3.0,2.0,3.0,3.0,Rhode Island Secretary of State's Website,I forgot to vote early or by mail,4.0,3.0
72,100,113,True,6,30-39,Male,Not married,Hispanic or Latino/a,Protestant / Other Christian Denomination,,Some college,"$100,000-$199,999",Independent,Definitely Wrong,0.0,Donald Trump,3.0,0.0,3.0,2.0,Rhode Island Secretary of State's Website,I prefer voting on election day,0.0,0.0
73,100,76,True,15,30-39,Female,Married,Hispanic or Latino/a,Other,Christian,High school graduate / GED,"$100,000-$199,999",Democrat,Unsure,2.0,Kamala Harris,3.0,1.0,3.0,3.0,Friends/Family,I do not trust mail-in voting,4.0,4.0
74,100,57,True,5,30-39,Male,Married,"White,Hispanic or Latino/a",Atheist,,4 year degree,"$200,000 or more",Democrat,Somewhat Right,3.0,Kamala Harris,3.0,2.0,3.0,3.0,The Voter Information Handbook sent to my house,I forgot to vote early or by mail,4.0,4.0
75,100,56,True,9,50-64,Female,Not married,Asian,Buddhism,,Less than High School,"Less than $30,000",Democrat,Definitely Right,4.0,Donald Trump,3.0,2.0,3.0,3.0,Friends/Family,I prefer voting on election day,4.0,3.0
76,100,82,True,3,65 or older,Male,Not married,White,Judaism,,Some college,"Less than $30,000",Republican,Definitely Wrong,0.0,Donald Trump,3.0,0.0,2.0,2.0,"Rhode Island Secretary of State's Website,The Voter Information Handbook sent to my house",I prefer voting on election day,0.0,0.0
77,100,98,True,8,65 or older,Female,Not married,Black or African American,Catholic,,Some college,"Less than $30,000",Democrat,Definitely Right,2.0,Kamala Harris,3.0,3.0,3.0,3.0,The Voter Information Handbook sent to my house,I prefer voting on election day,0.0,4.0
78,100,92,True,14,30-39,Female,Not married,Asian,Protestant / Other Christian Denomination,,Professional degree,"$200,000 or more",Independent,Somewhat Wrong,3.0,Kamala Harris,2.0,2.0,2.0,2.0,The Voter Information Handbook sent to my house,I prefer voting on election day,4.0,4.0
79,100,107,True,1,18-24,Female,Not married,"White,Asian",,,4 year degree,"Less than $30,000",Democrat,Somewhat Wrong,3.0,Kamala Harris,3.0,2.0,2.0,1.0,"Social Media,Friends/Family","I prefer voting on election day,Today was the best option for my schedule",4.0,3.0
80,100,53,True,7,65 or older,Female,Not married,Hispanic or Latino/a,Catholic,,Some college,"Less than $30,000",Democrat,Unsure,2.0,Kamala Harris,3.0,2.0,3.0,3.0,The Voter Information Handbook sent to my house,I prefer voting on election day,3.0,4.0
81,100,66,True,6,30-39,Female,Married,Hispanic or Latino/a,,,Some college,"$50,000-$100,000",Democrat,Somewhat Right,3.0,Donald Trump,1.0,1.0,1.0,2.0,211 Voter Hotline,I prefer voting on election day,3.0,3.0
82,100,65,True,11,30-39,Male,Married,White,,,High school graduate / GED,"$50,000-$100,000",Democrat,Unsure,3.0,Kamala Harris,3.0,3.0,3.0,3.0,The Voter Information Handbook sent to my house,I prefer voting on election day,4.0,4.0
83,100,90,True,8,65 or older,Female,Not married,Hispanic or Latino/a,Catholic,,Less than High School,"Less than $30,000",Democrat,Unsure,2.0,Kamala Harris,3.0,3.0,3.0,3.0,Friends/Family,I prefer voting on election day,4.0,4.0
84,100,82,True,15,40-49,Male,Not married,White,Catholic,,Some college,"Less than $30,000",Other third party,Definitely Wrong,0.0,Donald Trump,3.0,0.0,0.0,1.0,"Social Media,Friends/Family,Religious/Community Organizations",I prefer voting on election day,0.0,0.0
85,100,72,True,1,18-24,Female,Not married,White,,,4 year degree,"Less than $30,000",Democrat,Somewhat Wrong,3.0,Kamala Harris,2.0,2.0,3.0,3.0,"Rhode Island Secretary of State's Website,Social Media,Friends/Family","I prefer voting on election day,Today was the best option for my schedule",4.0,4.0
86,100,92,True,11,30-39,Female,Not married,Hispanic or Latino/a,,,Some college,"$30,000-$49,999",Other third party,Definitely Wrong,1.0,Kamala Harris,3.0,1.0,1.0,1.0,"Social Media,Friends/Family",I prefer voting on election day,3.0,3.0
87,100,82,True,14,50-64,Male,Married,White,Catholic,,4 year degree,"$100,000-$199,999",Independent,Unsure,2.0,Kamala Harris,1.0,2.0,3.0,3.0,"Rhode Island Secretary of State's Website,The Voter Information Handbook sent to my house,Social Media",Today was the best option for my schedule,4.0,3.0
88,100,100,True,12,40-49,Male,Married,Hispanic or Latino/a,Catholic,,Less than High School,"Less than $30,000",Independent,Somewhat Right,3.0,Donald Trump,3.0,3.0,2.0,2.0,Rhode Island Secretary of State's Website,"I prefer voting on election day,I do not trust mail-in voting,I wanted to wait to learn more about the candidates",4.0,4.0
89,100,56,True,9,65 or older,Female,Married,Native Hawaiian or Pacific Islander,Protestant / Other Christian Denomination,,High school graduate / GED,"Less than $30,000",Democrat,Definitely Wrong,1.0,Other,0.0,1.0,2.0,1.0,The Voter Information Handbook sent to my house,I do not trust mail-in voting,4.0,4.0
90,100,52,True,5,18-24,Female,Not married,Asian,Buddhism,,High school graduate / GED,"Less than $30,000",Democrat,Unsure,2.0,Kamala Harris,2.0,1.0,1.0,3.0,Social Media,"I do not trust mail-in voting,Today was the best option for my schedule",4.0,3.0
91,100,70,True,9,40-49,Female,Married,Hispanic or Latino/a,Catholic,,Some college,"Less than $30,000",Democrat,Unsure,2.0,Other,3.0,0.0,2.0,1.0,Social Media,I did not feel like I had all the information necessary to vote early or by mail,4.0,4.0
92,100,101,True,3,50-64,Female,Not married,"White,Black or African American",Protestant / Other Christian Denomination,,Some college,"Less than $30,000",Democrat,Somewhat Right,2.0,Kamala Harris,3.0,2.0,2.0,3.0,"Rhode Island Secretary of State's Website,The Voter Information Handbook sent to my house,Social Media,Friends/Family,Religious/Community Organizations",I prefer voting on election day,0.0,4.0
93,100,77,True,6,25-29,Female,Not married,Hispanic or Latino/a,Protestant / Other Christian Denomination,,Professional degree,"$50,000-$100,000",Republican,Definitely Right,1.0,Donald Trump,3.0,3.0,3.0,2.0,"Rhode Island Secretary of State's Website,Social Media,Friends/Family",I prefer voting on election day,4.0,4.0
94,100,86,True,12,65 or older,Male,Married,,,,High school graduate / GED,"$30,000-$49,999",Republican,Somewhat Right,4.0,Donald Trump,1.0,2.0,3.0,3.0,Religious/Community Organizations,I prefer voting on election day,4.0,3.0
95,100,68,True,15,25-29,Male,Not married,"White,Hispanic or Latino/a",Protestant / Other Christian Denomination,,High school graduate / GED,"$100,000-$199,999",Republican,Definitely Wrong,1.0,Donald Trump,1.0,0.0,2.0,2.0,Rhode Island Secretary of State's Website,I prefer voting on election day,0.0,4.0
96,100,65,True,3,65 or older,Female,Not married,Black or African American,Catholic,,2 year degree,"$50,000-$100,000",Democrat,Somewhat Right,3.0,Kamala Harris,3.0,3.0,3.0,3.0,The Voter Information Handbook sent to my house,I prefer voting on election day,4.0,3.0
97,100,62,True,7,50-64,Female,Not married,American Indian or Alaska Native,Catholic,,High school graduate / GED,"Less than $30,000",Democrat,Definitely Right,4.0,Kamala Harris,3.0,3.0,3.0,3.0,The Voter Information Handbook sent to my house,I prefer voting on election day,4.0,4.0
98,100,63,True,11,30-39,Male,Not married,Black or African American,Protestant / Other Christian Denomination,,Professional degree,"$50,000-$100,000",Democrat,Somewhat Wrong,0.0,Kamala Harris,0.0,1.0,3.0,3.0,"The Voter Information Handbook sent to my house,Friends/Family,Religious/Community Organizations","I prefer voting on election day,Today was the best option for my schedule",4.0,3.0
99,100,60,True,6,40-49,Female,Not married,,,,Some college,"$30,000-$49,999",,,3.0,Kamala Harris,3.0,2.0,3.0,3.0,"Rhode Island Secretary of State's Website,The Voter Information Handbook sent to my house,Social Media,Friends/Family",I prefer voting on election day,4.0,4.0
100,100,70,True,15,18-24,Male,Not married,"Black or African American,Hispanic or Latino/a",Protestant / Other Christian Denomination,,Some college,"Less than $30,000",Democrat,Somewhat Wrong,3.0,Kamala Harris,1.0,2.0,2.0,3.0,"Social Media,Friends/Family",I prefer voting on election day,4.0,4.0
101,100,99,True,1,25-29,Female,Not married,White,Protestant / Other Christian Denomination,,4 year degree,"$50,000-$100,000",Independent,Somewhat Wrong,2.0,Donald Trump,3.0,1.0,3.0,3.0,Rhode Island Secretary of State's Website,"I prefer voting on election day,I wanted to wait to learn more about the candidates",4.0,0.0
102,100,86,True,8,65 or older,Male,Married,American Indian or Alaska Native,Islam,,Professional degree,"Less than $30,000",Democrat,Somewhat Wrong,3.0,Kamala Harris,3.0,2.0,2.0,2.0,,,3.0,4.0
103,100,54,True,5,50-64,Female,Not married,Asian,Protestant / Other Christian Denomination,,Some college,"$50,000-$100,000",Democrat,Somewhat Right,3.0,Kamala Harris,3.0,3.0,2.0,2.0,"Rhode Island Secretary of State's Website,The Voter Information Handbook sent to my house,Social Media,Friends/Family",I prefer voting on election day,3.0,4.0
104,100,57,True,9,50-64,Female,Married,White,,,Professional degree,"$100,000-$199,999",Democrat,Somewhat Wrong,2.0,Kamala Harris,1.0,2.0,3.0,3.0,"Rhode Island Secretary of State's Website,Social Media,Friends/Family,Religious/Community Organizations",I prefer voting on election day,3.0,4.0
105,100,59,True,14,30-39,Male,Not married,White,Catholic,,2 year degree,"$100,000-$199,999",Independent,Somewhat Wrong,1.0,Donald Trump,0.0,1.0,2.0,2.0,"Social Media,Friends/Family","I prefer voting on election day,I do not trust mail-in voting",1.0,0.0
106,100,104,True,14,65 or older,Female,Married,Other,,,2 year degree,"$50,000-$100,000",Independent,Somewhat Wrong,1.0,Kamala Harris,3.0,1.0,2.0,2.0,Rhode Island Secretary of State's Website,I prefer voting on election day,1.0,4.0
