StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ResponseId,Q1,Q2,Q3,Q4,Q5,Q6,,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
11/12/2024 18:19:25,11/12/2024 18:22:05,100,160,True,11/12/2024 18:22:05,R_5OH1N9YvxSSxOVN,,,,,41.8244,-71.408,anonymous,EN,R_5OH1N9YvxSSxOVN,6,25-29,Male,Not married,Hispanic or Latino/a,Protestant / Other Christian Denomination,,Professional degree,"$50,000-$100,000",Democrat,Somewhat Right,Unsure,Kamala Harris,Somewhat Excited,Somewhat Confident,Somewhat Confident,Not Very Confident,Social Media,I did not feel like I had all the information necessary to vote early or by mail,,Definitely
11/12/2024 18:19:17,11/12/2024 18:22:08,100,171,True,11/12/2024 18:22:09,R_3JEMVJapMdE6rna,,,,,41.8244,-71.408,anonymous,EN,R_3JEMVJapMdE6rna,6,30-39,Male,Not married,"White,Black or African American",None,,Some college,"$50,000-$100,000",Democrat,Definitely Wrong,Unsure,Kamala Harris,Extremely Excited,Somewhat Confident,Somewhat Confident,Not Very Confident,Rhode Island Secretary of State's Website,I prefer voting on election day,Definitely,Probably
11/12/2024 18:19:57,11/12/2024 18:22:17,100,140,True,11/12/2024 18:22:18,R_6fjtcwkxcto6MdG,,,,,41.8244,-71.408,anonymous,EN,R_6fjtcwkxcto6MdG,12,25-29,Male,Not married,"White,Hispanic or Latino/a",Atheist,,4 year degree,"$50,000-$100,000",Democrat,Somewhat Right,Somewhat Right,Kamala Harris,Very Excited,Somewhat Confident,Somewhat Confident,Somewhat Confident,Rhode Island Secretary of State's Website,I prefer voting on election day,Definitely,Definitely
11/12/2024 18:20:53,11/12/2024 18:22:26,100,93,True,11/12/2024 18:22:27,R_10UbUkIoLlIMzvZ,,,,,41.8244,-71.408,anonymous,ES-ES,R_10UbUkIoLlIMzvZ,8,50-64,Female,Married,Hispanic or Latino/a,None,,High school graduate / GED,"$30,000-$49,999",Democrat,Somewhat Wrong,Somewhat Right,Kamala Harris,Very Excited,Unsure,Very Confident,Unsure,Social Media,I prefer voting on election day,Definitely Not,I would need more information to make a decision
11/12/2024 18:21:29,11/12/2024 18:22:39,100,70,True,11/12/2024 18:22:40,R_1qV8eRttFyspdqm,,,,,41.8244,-71.408,anonymous,EN,R_1qV8eRttFyspdqm,1,40-49,Female,Not married,White,None,,Professional degree,"$30,000-$49,999",Independent,Definitely Wrong,Somewhat Right,Kamala Harris,Very Excited,Somewhat Confident,Very Confident,Very Confident,Rhode Island Secretary of State's Website,I prefer voting on election day,I would need more information to make a decision,Probably Not
11/12/2024 18:20:15,11/12/2024 18:22:40,100,145,True,11/12/2024 18:22:41,R_1cTEnrZsPHc51mx,,,,,41.8244,-71.408,anonymous,EN,R_1cTEnrZsPHc51mx,15,30-39,Female,Not married,Hispanic or Latino/a,None,,4 year degree,"$50,000-$100,000",Democrat,Definitely Wrong,Definitely Wrong,Kamala Harris,Somewhat Excited,Not Very Confident,Not Very Confident,Not Very Confident,Social Media,"I prefer voting on election day,I do not trust mail-in voting,I wanted to wait to learn more about the candidates",Definitely,Probably
11/12/2024 18:21:18,11/12/2024 18:22:41,100,82,True,11/12/2024 18:22:42,R_6PpwGFudcuWhTcM,,,,,41.8244,-71.408,anonymous,EN,R_6PpwGFudcuWhTcM,1,50-64,Male,Not married,White,Catholic,,Doctorate,"$200,000 or more",Democrat,Somewhat Wrong,Somewhat Right,Kamala Harris,Very Excited,Somewhat Confident,Very Confident,Very Confident,Rhode Island Secretary of State's Website,I prefer voting on election day,Probably,Probably
11/12/2024 18:21:10,11/12/2024 18:23:02,100,112,True,11/12/2024 18:23:03,R_6YnD9OCkFJm14am,,,,,41.8244,-71.408,anonymous,EN,R_6YnD9OCkFJm14am,9,40-49,Male,Not married,White,None,,4 year degree,"$50,000-$100,000",Independent,Definitely Wrong,Somewhat Wrong,Kamala Harris,Not at all Excited,Somewhat Confident,Very Confident,Very Confident,Rhode Island Secretary of State's Website,Today was the best option for my schedule,Definitely,Definitely
11/12/2024 18:22:14,11/12/2024 18:23:08,100,54,True,11/12/2024 18:23:09,R_7TAdeRSSG6za5rP,,,,,40.7123,-74.0068,anonymous,EN,R_7TAdeRSSG6za5rP,5,50-64,Female,Not married,Hispanic or Latino/a,Other,,4 year degree,"$30,000-$49,999",Democrat,Somewhat Right,Somewhat Right,Kamala Harris,Somewhat Excited,Somewhat Confident,Somewhat Confident,Somewhat Confident,Rhode Island Secretary of State's Website,I prefer voting on election day,Definitely,Definitely
11/12/2024 18:22:00,11/12/2024 18:23:19,100,78,True,11/12/2024 18:23:19,R_6lslIYJkmSRlbqC,,,,,41.8244,-71.408,anonymous,EN,R_6lslIYJkmSRlbqC,14,50-64,Male,Married,White,None,,Some college,"$100,000-$199,999",Independent,Definitely Wrong,Definitely Wrong,Donald Trump,Somewhat Excited,Somewhat Confident,Somewhat Confident,Not Very Confident,Social Media,Today was the best option for my schedule,Definitely Not,Probably Not
11/12/2024 18:21:12,11/12/2024 18:23:19,100,127,True,11/12/2024 18:23:20,R_1R8ASLl0VQ2AWwG,,,,,41.8244,-71.408,anonymous,EN,R_1R8ASLl0VQ2AWwG,15,30-39,Female,Not married,American Indian or Alaska Native,Other,Maya,Some college,"$30,000-$49,999",Other third party,Definitely Wrong,Definitely Wrong,Other,Extremely Excited,Not Very Confident,Somewhat Confident,Not Very Confident,"Rhode Island Secretary of State's Website,Social Media,Religious/Community Organizations",I forgot to vote early or by mail,Definitely,Probably Not
11/12/2024 18:21:47,11/12/2024 18:23:29,100,101,True,11/12/2024 18:23:29,R_7PcDUBaGgpEnD0c,,,,,41.8244,-71.408,anonymous,EN,R_7PcDUBaGgpEnD0c,8,30-39,Male,Not married,Hispanic or Latino/a,Catholic,,Professional degree,"$50,000-$100,000",Independent,Somewhat Right,Somewhat Wrong,Kamala Harris,Not Very Excited,Not Very Confident,Unsure,Very Confident,Rhode Island Secretary of State's Website,I prefer voting on election day,Probably Not,Probably Not
11/12/2024 18:22:15,11/12/2024 18:23:44,100,89,True,11/12/2024 18:23:45,R_7plpo6osm8i2Amt,,,,,41.8244,-71.408,anonymous,EN,R_7plpo6osm8i2Amt,6,50-64,Female,Married,White,Catholic,,2 year degree,"$30,000-$49,999",Democrat,Unsure,Somewhat Right,Kamala Harris,Somewhat Excited,Somewhat Confident,Very Confident,Somewhat Confident,The Voter Information Handbook sent to my house,I prefer voting on election day,Probably,Probably Not
11/12/2024 18:22:29,11/12/2024 18:23:48,100,78,True,11/12/2024 18:23:48,R_10xswsKalZQ47Ty,,,,,41.8244,-71.408,anonymous,EN,R_10xswsKalZQ47Ty,8,40-49,Male,Not married,Black or African American,Catholic,,High school graduate / GED,"Less than $30,000",Democrat,Somewhat Wrong,Somewhat Right,Kamala Harris,Extremely Excited,Somewhat Confident,Somewhat Confident,Somewhat Confident,Social Media,I prefer voting on election day,Definitely,Probably
11/12/2024 18:22:19,11/12/2024 18:23:51,100,92,True,11/12/2024 18:23:52,R_5CHaLGJoase49VH,,,,,41.8244,-71.408,anonymous,EN,R_5CHaLGJoase49VH,6,25-29,Male,Not married,White,None,,Doctorate,"$100,000-$199,999",Independent,Unsure,Unsure,Kamala Harris,Not Very Excited,Unsure,Very Confident,Very Confident,Social Media,I prefer voting on election day,Definitely,Definitely
11/12/2024 18:21:06,11/12/2024 18:23:52,100,165,True,11/12/2024 18:23:53,R_7GztytSfgBxwQo1,,,,,41.8244,-71.408,anonymous,EN,R_7GztytSfgBxwQo1,14,30-39,Female,Married,White,Catholic,,4 year degree,"$200,000 or more",Democrat,Somewhat Wrong,Somewhat Wrong,Kamala Harris,Very Excited,Unsure,Somewhat Confident,Somewhat Confident,"Social Media,Friends/Family","I prefer voting on election day,I forgot to vote early or by mail,Today was the best option for my schedule",Definitely,Probably Not
11/12/2024 18:21:58,11/12/2024 18:23:52,100,114,True,11/12/2024 18:23:53,R_5DOuv8Ge6ce0sa8,,,,,41.8244,-71.408,anonymous,EN,R_5DOuv8Ge6ce0sa8,7,50-64,Female,Not married,Hispanic or Latino/a,Other,"""pentecostal"" spanish survey",2 year degree,"Less than $30,000",Republican,Unsure,Unsure,Donald Trump,,Unsure,Unsure,,Religious/Community Organizations,I prefer voting on election day,Definitely,I would need more information to make a decision
11/12/2024 18:22:12,11/12/2024 18:24:00,100,108,True,11/12/2024 18:24:01,R_57d5xnhqX69P93U,,,,,41.8244,-71.408,anonymous,EN,R_57d5xnhqX69P93U,9,50-64,Female,Not married,Asian,Buddhism,,High school graduate / GED,"Less than $30,000",Independent,Somewhat Right,Definitely Right,Kamala Harris,Very Excited,Very Confident,Somewhat Confident,Somewhat Confident,Friends/Family,I prefer voting on election day,Definitely,Probably
11/12/2024 18:22:35,11/12/2024 18:24:04,100,88,True,11/12/2024 18:24:04,R_7dvmcgFNM1Lrrsw,,,,,41.8244,-71.408,anonymous,EN,R_7dvmcgFNM1Lrrsw,3,40-49,Male,Not married,White,Judaism,,2 year degree,"Less than $30,000",Democrat,Unsure,Unsure,Kamala Harris,Somewhat Excited,Somewhat Confident,Very Confident,Somewhat Confident,"The Voter Information Handbook sent to my house,Friends/Family",Today was the best option for my schedule,,
11/12/2024 18:22:41,11/12/2024 18:24:08,100,87,True,11/12/2024 18:24:08,R_1wN5O0PdMGjy1gJ,,,,,41.8244,-71.408,anonymous,EN,R_1wN5O0PdMGjy1gJ,1,25-29,Female,Not married,White,Catholic,,4 year degree,"$100,000-$199,999",Democrat,Somewhat Wrong,Somewhat Right,Kamala Harris,Very Excited,Somewhat Confident,Very Confident,Somewhat Confident,"Rhode Island Secretary of State's Website,The Voter Information Handbook sent to my house,Friends/Family","I forgot to vote early or by mail,Today was the best option for my schedule",Definitely,I would need more information to make a decision
11/12/2024 18:21:31,11/12/2024 18:24:10,100,159,True,11/12/2024 18:24:11,R_1ip2n4lRUUmS9lD,,,,,42.3562,-71.0631,anonymous,EN,R_1ip2n4lRUUmS9lD,3,18-24,Female,Not married,White,None,,High school graduate / GED,"$30,000-$49,999",Democrat,Somewhat Wrong,Somewhat Right,Kamala Harris,Extremely Excited,Somewhat Confident,Somewhat Confident,Somewhat Confident,"Social Media,Friends/Family",I prefer voting on election day,Probably,Probably
11/12/2024 18:23:13,11/12/2024 18:24:11,100,58,True,11/12/2024 18:24:12,R_5GCgHguTWXpacOJ,,,,,40.7123,-74.0068,anonymous,EN,R_5GCgHguTWXpacOJ,5,18-24,Male,Not married,"Black or African American,Hispanic or Latino/a",Catholic,,Some college,"$30,000-$49,999",Democrat,Somewhat Wrong,Somewhat Right,Kamala Harris,Extremely Excited,Somewhat Confident,Somewhat Confident,Not Very Confident,"Rhode Island Secretary of State's Website,The Voter Information Handbook sent to my house,Social Media",I prefer voting on election day,Definitely,Definitely
11/12/2024 18:23:07,11/12/2024 18:24:14,100,67,True,11/12/2024 18:24:15,R_6tnoVH6dSCcLfwd,,,,,41.8244,-71.408,anonymous,EN,R_6tnoVH6dSCcLfwd,9,30-39,Female,Not married,White,None,,2 year degree,"$30,000-$49,999",Democrat,Somewhat Right,Somewhat Right,Kamala Harris,Somewhat Excited,Somewhat Confident,Very Confident,Very Confident,Social Media,I prefer voting on election day,Definitely,Definitely
11/12/2024 18:22:47,11/12/2024 18:24:14,100,87,True,11/12/2024 18:24:15,R_1PjIWVozYMjOVZj,,,,,41.8244,-71.408,anonymous,EN,R_1PjIWVozYMjOVZj,1,30-39,Male,Not married,White,Atheist,,Doctorate,"$30,000-$49,999",Democrat,Definitely Wrong,Definitely Right,Kamala Harris,Not Very Excited,Somewhat Confident,Very Confident,Very Confident,Rhode Island Secretary of State's Website,"I prefer voting on election day,I wanted to wait to learn more about the candidates,Today was the best option for my schedule",Definitely,Definitely
11/12/2024 18:23:30,11/12/2024 18:24:26,100,56,True,11/12/2024 18:24:26,R_54wyhLYONAthrPU,,,,,41.8244,-71.408,anonymous,EN,R_54wyhLYONAthrPU,8,65 or older,Male,Married,Hispanic or Latino/a,Catholic,,Less than High School,"Less than $30,000",,Somewhat Right,,,,,,,,,,
11/12/2024 18:23:25,11/12/2024 18:24:37,100,71,True,11/12/2024 18:24:37,R_1ZXQ7WsEPGPyxih,,,,,41.8244,-71.408,anonymous,EN,R_1ZXQ7WsEPGPyxih,14,50-64,Female,Married,White,None,,Professional degree,"$50,000-$100,000",Democrat,Somewhat Wrong,Somewhat Right,Kamala Harris,Very Excited,Somewhat Confident,Very Confident,Not Very Confident,Rhode Island Secretary of State's Website,I prefer voting on election day,Definitely,Probably
11/12/2024 18:23:41,11/12/2024 18:24:51,100,69,True,11/12/2024 18:24:51,R_5awXPyby9Oj2KwQ,,,,,41.8244,-71.408,anonymous,EN,R_5awXPyby9Oj2KwQ,15,30-39,Female,Not married,Black or African American,None,,Some college,"$50,000-$100,000",Democrat,Definitely Wrong,Somewhat Right,Kamala Harris,Very Excited,Somewhat Confident,Very Confident,Very Confident,The Voter Information Handbook sent to my house,I prefer voting on election day,Definitely,Probably
11/12/2024 18:23:16,11/12/2024 18:24:54,100,98,True,11/12/2024 18:24:55,R_7QWF1v0fXJ3sTIt,,,,,41.8244,-71.408,anonymous,EN,R_7QWF1v0fXJ3sTIt,11,40-49,Female,Not married,Black or African American,None,,High school graduate / GED,"$50,000-$100,000",Democrat,Unsure,Unsure,Kamala Harris,Extremely Excited,Somewhat Confident,Somewhat Confident,Somewhat Confident,Friends/Family,I prefer voting on election day,Definitely,Definitely
11/12/2024 18:24:05,11/12/2024 18:25:05,100,59,True,11/12/2024 18:25:05,R_5m4vg3NukC2oT26,,,,,41.8244,-71.408,anonymous,EN,R_5m4vg3NukC2oT26,7,40-49,Female,Not married,Hispanic or Latino/a,Catholic,,4 year degree,"Less than $30,000",Democrat,Somewhat Wrong,Somewhat Right,Kamala Harris,Very Excited,Somewhat Confident,Very Confident,Somewhat Confident,The Voter Information Handbook sent to my house,I prefer voting on election day,Probably Not,Definitely
11/12/2024 18:21:04,11/12/2024 18:25:07,100,242,True,11/12/2024 18:25:07,R_7Lw0wiiM0j2lz5r,,,,,41.8244,-71.408,anonymous,EN,R_7Lw0wiiM0j2lz5r,11,50-64,Female,Not married,Hispanic or Latino/a,Catholic,,High school graduate / GED,"$30,000-$49,999",Democrat,,Somewhat Right,Kamala Harris,,Somewhat Confident,Somewhat Confident,Somewhat Confident,Friends/Family,I prefer voting on election day,Definitely,Definitely
11/12/2024 18:23:59,11/12/2024 18:25:14,100,75,True,11/12/2024 18:25:15,R_6PjHg4JJX59BDD9,,,,,41.8244,-71.408,anonymous,EN,R_6PjHg4JJX59BDD9,6,40-49,Male,Married,Hispanic or Latino/a,Catholic,,Some college,"$50,000-$100,000",Democrat,Somewhat Wrong,Somewhat Wrong,Other,Somewhat Excited,Somewhat Confident,Somewhat Confident,Somewhat Confident,Friends/Family,I prefer voting on election day,Definitely,Definitely
11/12/2024 18:22:45,11/12/2024 18:25:18,100,152,True,11/12/2024 18:25:18,R_1PhwDoo7LOcaGhi,,,,,41.8244,-71.408,anonymous,EN,R_1PhwDoo7LOcaGhi,15,30-39,Male,Married,"White,Hispanic or Latino/a,Asian,Native Hawaiian or Pacific Islander",Other,"Catholic, Protestant, and Athiest",4 year degree,"$100,000-$199,999",Independent,Somewhat Right,Definitely Right,Other,Somewhat Excited,Somewhat Confident,Somewhat Confident,Not Very Confident,"Social Media,Friends/Family","I prefer voting on election day,I do not trust mail-in voting,I wanted to wait to learn more about the candidates,Today was the best option for my schedule",Probably Not,Definitely
11/12/2024 18:24:16,11/12/2024 18:25:24,100,67,True,11/12/2024 18:25:24,R_3Jdwetn96tW7RRv,,,,,41.8244,-71.408,anonymous,EN,R_3Jdwetn96tW7RRv,9,40-49,Female,Not married,Hispanic or Latino/a,None,,High school graduate / GED,"$30,000-$49,999",Independent,Unsure,Unsure,,Very Excited,Not Very Confident,Somewhat Confident,Somewhat Confident,"Social Media,Friends/Family",I prefer voting on election day,Probably Not,Probably Not
11/12/2024 18:24:03,11/12/2024 18:25:25,100,82,True,11/12/2024 18:25:25,R_1AjcRhmbwkuASgp,,,,,41.8244,-71.408,anonymous,EN,R_1AjcRhmbwkuASgp,9,50-64,Male,Not married,White,None,,2 year degree,"$30,000-$49,999",Independent,Unsure,Somewhat Right,Kamala Harris,Somewhat Excited,Somewhat Confident,Not Very Confident,Very Confident,Social Media,I prefer voting on election day,Definitely,Probably Not
11/12/2024 18:23:51,11/12/2024 18:25:27,100,96,True,11/12/2024 18:25:28,R_3lnjFnkFsiiIdMx,,,,,41.8244,-71.408,anonymous,EN,R_3lnjFnkFsiiIdMx,8,30-39,Female,Married,Hispanic or Latino/a,None,,Some college,"$50,000-$100,000",Republican,Unsure,Somewhat Right,Donald Trump,Somewhat Excited,Unsure,Unsure,Unsure,"Rhode Island Secretary of State's Website,211 Voter Hotline,Friends/Family",I prefer voting on election day,I would need more information to make a decision,I would need more information to make a decision
11/12/2024 18:24:14,11/12/2024 18:25:30,100,75,True,11/12/2024 18:25:30,R_33rkqH5XlnrnP8E,,,,,41.8244,-71.408,anonymous,EN,R_33rkqH5XlnrnP8E,1,25-29,Male,Not married,"White,Hispanic or Latino/a",Catholic,,4 year degree,"$50,000-$100,000",Democrat,Somewhat Right,Somewhat Right,Kamala Harris,Somewhat Excited,Not Very Confident,Very Confident,Very Confident,The Voter Information Handbook sent to my house,"I prefer voting on election day,I forgot to vote early or by mail",Definitely,I would need more information to make a decision
11/12/2024 18:23:54,11/12/2024 18:25:31,100,97,True,11/12/2024 18:25:32,R_6s1pGl07r5eyGHf,,,,,41.8244,-71.408,anonymous,EN,R_6s1pGl07r5eyGHf,6,30-39,Female,Not married,,,,Some college,"Less than $30,000",Democrat,Somewhat Right,Definitely Right,Kamala Harris,Extremely Excited,Very Confident,Somewhat Confident,Somewhat Confident,"Rhode Island Secretary of State's Website,Social Media","I prefer voting on election day,I wanted to wait to learn more about the candidates",Probably,Probably
11/12/2024 18:22:32,11/12/2024 18:25:33,100,180,True,11/12/2024 18:25:33,R_7snMvsUU46STkfI,,,,,41.8244,-71.408,anonymous,EN,R_7snMvsUU46STkfI,12,50-64,Female,Not married,Other,None,,4 year degree,"$50,000-$100,000",Independent,Somewhat Right,Somewhat Wrong,Kamala Harris,Very Excited,Not Very Confident,Somewhat Confident,Somewhat Confident,"The Voter Information Handbook sent to my house,Social Media,Friends/Family",,Definitely,I would need more information to make a decision
11/12/2024 18:24:19,11/12/2024 18:25:43,100,84,True,11/12/2024 18:25:44,R_3vj0ysIJdop501s,,,,,40.7123,-74.0068,anonymous,EN,R_3vj0ysIJdop501s,5,30-39,Female,Married,White,Other,Pagan,4 year degree,"$50,000-$100,000",Republican,Definitely Wrong,Definitely Wrong,Donald Trump,Very Excited,Not Very Confident,Somewhat Confident,Not at All Confident,Social Media,"I prefer voting on election day,I do not trust mail-in voting,I wanted to wait to learn more about the candidates",Probably,Probably Not
11/12/2024 18:24:14,11/12/2024 18:25:49,100,94,True,11/12/2024 18:25:50,R_1hEnMmYGLnfwSsH,,,,,42.3562,-71.0631,anonymous,EN,R_1hEnMmYGLnfwSsH,3,50-64,Female,Not married,"Black or African American,American Indian or Alaska Native,Other",Protestant / Other Christian Denomination,,Some college,"Less than $30,000",Democrat,Definitely Wrong,Unsure,Kamala Harris,Extremely Excited,Somewhat Confident,Somewhat Confident,Very Confident,Rhode Island Secretary of State's Website,I prefer voting on election day,Probably,Probably
11/12/2024 18:22:05,11/12/2024 18:25:53,100,227,True,11/12/2024 18:25:53,R_5MVXqotCs2xd3gd,,,,,41.8244,-71.408,anonymous,EN,R_5MVXqotCs2xd3gd,12,30-39,Male,Not married,White,Catholic,,4 year degree,"$200,000 or more",Republican,Somewhat Right,Somewhat Right,Donald Trump,Very Excited,Not Very Confident,Very Confident,Somewhat Confident,"211 Voter Hotline,The Voter Information Handbook sent to my house,Social Media","I prefer voting on election day,I forgot to vote early or by mail",Probably,Probably Not
11/12/2024 18:24:39,11/12/2024 18:25:57,100,77,True,11/12/2024 18:25:57,R_5t6T5mgZtF50WQx,,,,,41.8244,-71.408,anonymous,EN,R_5t6T5mgZtF50WQx,14,50-64,Male,Married,White,Atheist,,4 year degree,"$100,000-$199,999",Democrat,Unsure,Somewhat Right,Kamala Harris,Extremely Excited,Somewhat Confident,Somewhat Confident,Unsure,Social Media,I prefer voting on election day,Definitely,Definitely
11/12/2024 18:24:19,11/12/2024 18:26:04,100,105,True,11/12/2024 18:26:05,R_3J27Yl485rd80Mv,,,,,41.8244,-71.408,anonymous,EN,R_3J27Yl485rd80Mv,1,30-39,Male,Married,"White,American Indian or Alaska Native",Protestant / Other Christian Denomination,,Professional degree,"$100,000-$199,999",Independent,Definitely Wrong,Somewhat Wrong,Donald Trump,Not at all Excited,Not Very Confident,Somewhat Confident,Unsure,Rhode Island Secretary of State's Website,Today was the best option for my schedule,Probably Not,Probably
11/12/2024 18:24:29,11/12/2024 18:26:10,100,101,True,11/12/2024 18:26:10,R_1xWXoftTZbnXFJg,,,,,41.8244,-71.408,anonymous,EN,R_1xWXoftTZbnXFJg,8,50-64,Male,Not married,Hispanic or Latino/a,Catholic,,Professional degree,"$100,000-$199,999",Other third party,Somewhat Right,Somewhat Right,Kamala Harris,Somewhat Excited,Not Very Confident,Very Confident,Very Confident,Social Media,I prefer voting on election day,I would need more information to make a decision,I would need more information to make a decision
11/12/2024 18:25:18,11/12/2024 18:26:10,100,52,True,11/12/2024 18:26:11,R_3ZNrvj8mX6LZWBM,,,,,41.8244,-71.408,anonymous,EN,R_3ZNrvj8mX6LZWBM,7,65 or older,Male,Not married,White,Catholic,,Some college,"Less than $30,000",Republican,Unsure,Definitely Wrong,Donald Trump,Extremely Excited,Not at All Confident,Not at All Confident,Not at All Confident,Social Media,I prefer voting on election day,Definitely,Definitely Not
